disease,symptom,treatment,authors,publication_date,source
Alzheimer's,"Numbness, Weakness","Bronchodilators, Corticosteroids",Jacqueline Pitts,2011-03-29,WHO
COVID-19,"Confusion, Memory Loss","Chemotherapy, Radiotherapy",David Powell,2005-08-19,Elsevier
Hypertension,"Increased Thirst, Fatigue","Chloroquine, Artemisinin",Phillip Dalton,2004-01-15,PubMed
Alzheimer's,"Increased Thirst, Fatigue",Anti-inflammatory drugs,David Monroe,2004-08-23,PubMed
Malaria,"Fatigue, Weight Loss","Insulin, Metformin",Chris Snyder,2023-06-22,PubMed
Flu,"Shortness of Breath, Cough","Chemotherapy, Radiotherapy",Paula Boyd,2005-12-01,CDC
COVID-19,"Confusion, Memory Loss","Bronchodilators, Corticosteroids",Molly Owens,2016-06-01,WHO
Diabetes,"Numbness, Weakness","Insulin, Metformin",Jared Lee,2021-08-03,NIH
COVID-19,"Numbness, Weakness","Bronchodilators, Corticosteroids",Rebecca Soto,2019-02-09,Elsevier
Asthma,"Joint Pain, Swelling",Anti-inflammatory drugs,James Nelson,2003-01-16,PubMed
Cancer,"Numbness, Weakness","Chemotherapy, Radiotherapy",Annette Lewis,2023-10-22,NIH
Arthritis,"Headaches, Dizziness","Vaccines, Antiviral Drugs",Sarah Hunter,2006-06-25,WHO
COVID-19,"Increased Thirst, Fatigue",Anti-inflammatory drugs,Victor Crawford,2015-06-05,Elsevier
Hypertension,"Fatigue, Weight Loss","Rest, Fluids",Lisa Smith,2018-05-13,WHO
Stroke,"Headaches, Dizziness","Medications, Therapy",Herbert Hatfield,2006-09-16,NIH
Stroke,"Fatigue, Weight Loss",Anti-inflammatory drugs,Tiffany Parker,2001-05-05,NIH
COVID-19,"Fatigue, Weight Loss","Blood Thinners, Surgery",Sandra Harrington,2024-02-04,WHO
Asthma,"Fever, Headache","Rest, Fluids",Geoffrey Allen,2010-09-25,CDC
Alzheimer's,"Increased Thirst, Fatigue","Lifestyle changes, Antihypertensive drugs",Melissa Collier,2023-12-13,Elsevier
Flu,"Confusion, Memory Loss","Blood Thinners, Surgery",Sherry Nelson,2006-01-15,PubMed
COVID-19,"Chills, Muscle Pain",Anti-inflammatory drugs,Anthony Oconnor,2020-04-20,NIH
Arthritis,"Joint Pain, Swelling","Chloroquine, Artemisinin",Michele Gomez,2009-01-02,WHO
Asthma,"Loss of Smell, Cough","Blood Thinners, Surgery",Michele Blackwell,2015-10-29,PubMed
Asthma,"Shortness of Breath, Cough","Chloroquine, Artemisinin",Jason Wilson,2010-07-26,CDC
Alzheimer's,"Increased Thirst, Fatigue","Chemotherapy, Radiotherapy",Jocelyn Mendez,2009-04-19,CDC
Asthma,"Loss of Smell, Cough","Chemotherapy, Radiotherapy",Sarah Lewis,2003-04-17,PubMed
Malaria,"Confusion, Memory Loss","Chloroquine, Artemisinin",Michael Acevedo,2012-01-26,Elsevier
Malaria,"Chills, Muscle Pain","Lifestyle changes, Antihypertensive drugs",Destiny Miller,2004-10-09,CDC
Stroke,"Confusion, Memory Loss","Bronchodilators, Corticosteroids",Cindy Alexander,2000-03-02,NIH
Arthritis,"Headaches, Dizziness","Chloroquine, Artemisinin",Kenneth Vincent,2023-06-23,WHO
Hypertension,"Loss of Smell, Cough","Vaccines, Antiviral Drugs",Cathy Mendez,2013-02-16,WHO
Alzheimer's,"Headaches, Dizziness","Chemotherapy, Radiotherapy",Sarah Herrera,2001-08-11,Elsevier
Stroke,"Loss of Smell, Cough","Rest, Fluids",Melissa Obrien,2015-02-17,WHO
Diabetes,"Increased Thirst, Fatigue","Chloroquine, Artemisinin",Catherine Medina,2019-08-30,Elsevier
Hypertension,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Cheryl Brown,2023-09-26,CDC
Alzheimer's,"Fever, Headache","Medications, Therapy",Linda Hogan,2020-12-07,PubMed
COVID-19,"Fever, Headache","Rest, Fluids",Anna Young,2019-01-02,PubMed
Diabetes,"Fatigue, Weight Loss",Anti-inflammatory drugs,Christina Sims,2008-01-11,NIH
Diabetes,"Fatigue, Weight Loss",Anti-inflammatory drugs,Hannah Hernandez,2014-08-05,CDC
Malaria,"Loss of Smell, Cough","Chloroquine, Artemisinin",Carlos Gibson,2012-03-20,NIH
Stroke,"Joint Pain, Swelling","Chloroquine, Artemisinin",Vanessa Maxwell,2001-05-11,CDC
Arthritis,"Joint Pain, Swelling","Blood Thinners, Surgery",Henry Davenport,2005-01-09,WHO
Asthma,"Increased Thirst, Fatigue","Rest, Fluids",Bianca Hancock,2014-09-05,CDC
Flu,"Increased Thirst, Fatigue","Rest, Fluids",Jerry Bridges,2014-04-03,WHO
Alzheimer's,"Loss of Smell, Cough","Chemotherapy, Radiotherapy",Mark Murphy,2007-04-23,CDC
Flu,"Joint Pain, Swelling","Chemotherapy, Radiotherapy",Nancy Ramirez,2004-10-16,Elsevier
Hypertension,"Shortness of Breath, Cough","Chloroquine, Artemisinin",Troy Wagner,2006-06-29,WHO
Cancer,"Shortness of Breath, Cough","Blood Thinners, Surgery",Amber Anderson,2010-08-03,Elsevier
Arthritis,"Fever, Headache","Bronchodilators, Corticosteroids",Jill Campbell,2001-09-09,WHO
Stroke,"Chills, Muscle Pain","Medications, Therapy",Alexis Wilson,2012-01-31,WHO
Diabetes,"Increased Thirst, Fatigue","Lifestyle changes, Antihypertensive drugs",John Morris,2020-10-01,Elsevier
Arthritis,"Joint Pain, Swelling",Anti-inflammatory drugs,Julie Hicks,2003-07-01,WHO
COVID-19,"Fatigue, Weight Loss","Vaccines, Antiviral Drugs",Jessica Coleman,2013-06-26,WHO
Diabetes,"Increased Thirst, Fatigue","Bronchodilators, Corticosteroids",Jacqueline Gray,2010-10-04,WHO
Stroke,"Fatigue, Weight Loss","Vaccines, Antiviral Drugs",Andrea Dixon,2020-05-27,CDC
Alzheimer's,"Joint Pain, Swelling","Vaccines, Antiviral Drugs",Sarah Lewis,2001-07-22,WHO
Asthma,"Fatigue, Weight Loss","Medications, Therapy",William Neal,2008-11-12,WHO
Flu,"Chills, Muscle Pain","Blood Thinners, Surgery",Amanda Higgins,2009-06-29,CDC
Asthma,"Joint Pain, Swelling","Insulin, Metformin",Megan Frazier,2014-11-06,PubMed
Cancer,"Fever, Headache","Lifestyle changes, Antihypertensive drugs",Gabrielle Mcgee,2010-11-01,PubMed
COVID-19,"Joint Pain, Swelling","Lifestyle changes, Antihypertensive drugs",Julie Hahn,2002-02-18,NIH
COVID-19,"Loss of Smell, Cough","Chloroquine, Artemisinin",Mary Larson,2014-09-20,NIH
Arthritis,"Headaches, Dizziness","Rest, Fluids",Brett Collier,2023-11-01,CDC
Cancer,"Loss of Smell, Cough","Bronchodilators, Corticosteroids",Stephanie Mcdonald,2007-05-05,WHO
Stroke,"Fever, Headache","Bronchodilators, Corticosteroids",Vincent Gross,2015-05-17,PubMed
Flu,"Fatigue, Weight Loss",Anti-inflammatory drugs,Kevin Carey,2022-04-15,PubMed
Cancer,"Chills, Muscle Pain","Chloroquine, Artemisinin",Alexander Gilbert,2004-01-07,CDC
Flu,"Joint Pain, Swelling","Blood Thinners, Surgery",Danny Clay,2020-06-13,WHO
Stroke,"Increased Thirst, Fatigue",Anti-inflammatory drugs,Thomas Owens,2023-01-17,PubMed
Arthritis,"Joint Pain, Swelling","Medications, Therapy",Travis Casey,2013-12-12,NIH
Cancer,"Chills, Muscle Pain",Anti-inflammatory drugs,William Schneider,2016-05-20,WHO
Hypertension,"Joint Pain, Swelling","Medications, Therapy",Erin Martin,2006-04-23,WHO
Arthritis,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Kelly Combs,2013-01-15,CDC
Cancer,"Joint Pain, Swelling",Anti-inflammatory drugs,Lindsay Perez,2005-01-03,WHO
Flu,"Fever, Headache","Chloroquine, Artemisinin",Patricia Klein,2022-08-14,CDC
Arthritis,"Increased Thirst, Fatigue","Chloroquine, Artemisinin",Jeremy Charles,2002-05-08,NIH
Diabetes,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Jeanne Anderson,2017-05-02,CDC
Malaria,"Headaches, Dizziness","Rest, Fluids",Rachel Fuller,2013-01-26,PubMed
Diabetes,"Numbness, Weakness","Blood Thinners, Surgery",Jay Garrett,2020-10-22,PubMed
Arthritis,"Confusion, Memory Loss","Rest, Fluids",Aaron Colon,2021-12-14,Elsevier
COVID-19,"Loss of Smell, Cough",Anti-inflammatory drugs,Dr. Briana Johnson,2023-07-14,NIH
Asthma,"Confusion, Memory Loss","Chloroquine, Artemisinin",Andrew Baker,2016-12-20,WHO
Arthritis,"Shortness of Breath, Cough","Insulin, Metformin",Edward Becker,2018-02-02,CDC
COVID-19,"Increased Thirst, Fatigue","Insulin, Metformin",Brian Rich,2011-12-30,Elsevier
Arthritis,"Shortness of Breath, Cough","Rest, Fluids",Shawn Garcia,2023-12-08,CDC
Arthritis,"Headaches, Dizziness","Vaccines, Antiviral Drugs",Kim Green,2012-07-25,CDC
Alzheimer's,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Sarah Jennings,2008-01-06,CDC
Malaria,"Loss of Smell, Cough","Bronchodilators, Corticosteroids",Tammy Pierce,2022-09-26,CDC
Alzheimer's,"Joint Pain, Swelling","Bronchodilators, Corticosteroids",Jeremy Miles,2017-04-06,WHO
Alzheimer's,"Shortness of Breath, Cough",Anti-inflammatory drugs,Gabriela Dyer,2022-08-04,PubMed
Asthma,"Headaches, Dizziness","Insulin, Metformin",Kelly Warner,2012-11-02,PubMed
Asthma,"Headaches, Dizziness","Chemotherapy, Radiotherapy",William Werner,2004-12-09,NIH
Diabetes,"Increased Thirst, Fatigue",Anti-inflammatory drugs,Carl Mcneil,2019-03-31,PubMed
Stroke,"Joint Pain, Swelling","Bronchodilators, Corticosteroids",Susan Olson,2014-04-07,CDC
Alzheimer's,"Chills, Muscle Pain","Insulin, Metformin",Pamela Jordan,2016-04-21,PubMed
Stroke,"Numbness, Weakness","Lifestyle changes, Antihypertensive drugs",Derek Ramirez,2021-09-16,Elsevier
Stroke,"Numbness, Weakness",Anti-inflammatory drugs,Edward Harris,2012-02-20,WHO
Flu,"Loss of Smell, Cough","Insulin, Metformin",Amanda Carr,2017-12-18,CDC
Malaria,"Numbness, Weakness",Anti-inflammatory drugs,Amanda Higgins,2017-08-28,WHO
Alzheimer's,"Headaches, Dizziness","Blood Thinners, Surgery",Jennifer Lee,2012-03-30,NIH
Flu,"Confusion, Memory Loss","Insulin, Metformin",Chloe Padilla,2009-11-07,NIH
Cancer,"Headaches, Dizziness","Vaccines, Antiviral Drugs",Holly Ashley,2015-10-27,PubMed
Flu,"Chills, Muscle Pain","Blood Thinners, Surgery",Rhonda Johnson,2017-07-15,PubMed
Cancer,"Joint Pain, Swelling","Chloroquine, Artemisinin",Dylan Thompson,2007-02-01,NIH
Cancer,"Headaches, Dizziness","Bronchodilators, Corticosteroids",Dylan Thompson,2005-01-13,WHO
COVID-19,"Shortness of Breath, Cough","Vaccines, Antiviral Drugs",Mary Young,2003-06-05,NIH
Stroke,"Chills, Muscle Pain",Anti-inflammatory drugs,Eric Reed,2021-01-20,Elsevier
Asthma,"Chills, Muscle Pain","Rest, Fluids",Carol Martin,2008-03-19,NIH
Cancer,"Headaches, Dizziness","Insulin, Metformin",Craig Murphy,2000-05-07,PubMed
Alzheimer's,"Headaches, Dizziness","Blood Thinners, Surgery",Andrew Jacobs,2004-10-18,CDC
Malaria,"Shortness of Breath, Cough",Anti-inflammatory drugs,Nicholas Richards,2007-10-28,WHO
Arthritis,"Increased Thirst, Fatigue","Insulin, Metformin",Roberta Parker,2011-12-07,WHO
Arthritis,"Chills, Muscle Pain","Chloroquine, Artemisinin",Nicole Hernandez,2020-11-19,WHO
COVID-19,"Confusion, Memory Loss","Chloroquine, Artemisinin",Jennifer Nelson,2017-01-31,CDC
Malaria,"Headaches, Dizziness","Chloroquine, Artemisinin",James Lewis,2021-10-11,NIH
Alzheimer's,"Confusion, Memory Loss",Anti-inflammatory drugs,Gregory Wood,2000-06-23,Elsevier
Flu,"Confusion, Memory Loss","Rest, Fluids",Michael Ryan,2016-11-15,PubMed
Stroke,"Numbness, Weakness","Chloroquine, Artemisinin",Christopher Elliott,2012-02-23,WHO
Diabetes,"Joint Pain, Swelling","Insulin, Metformin",Christine Davis,2021-11-15,CDC
Asthma,"Numbness, Weakness","Lifestyle changes, Antihypertensive drugs",John Williams,2014-08-13,NIH
Asthma,"Shortness of Breath, Cough","Rest, Fluids",Brenda Powell,2024-10-13,PubMed
Cancer,"Chills, Muscle Pain","Blood Thinners, Surgery",Heidi Collins,2016-06-15,CDC
COVID-19,"Fatigue, Weight Loss","Bronchodilators, Corticosteroids",Mr. Thomas Taylor PhD,2010-06-04,Elsevier
Arthritis,"Chills, Muscle Pain","Lifestyle changes, Antihypertensive drugs",Gabriel Romero,2003-08-23,PubMed
Arthritis,"Shortness of Breath, Cough","Blood Thinners, Surgery",Zachary Ellis,2005-08-12,CDC
COVID-19,"Headaches, Dizziness","Bronchodilators, Corticosteroids",Maria Johnson,2016-09-23,PubMed
Hypertension,"Headaches, Dizziness","Insulin, Metformin",Timothy Knapp,2017-01-27,PubMed
Stroke,"Numbness, Weakness","Chloroquine, Artemisinin",Kaylee Henry,2001-10-28,Elsevier
COVID-19,"Numbness, Weakness","Rest, Fluids",Linda Graves,2005-08-09,WHO
Arthritis,"Numbness, Weakness","Bronchodilators, Corticosteroids",Leslie Smith,2014-11-03,NIH
Malaria,"Confusion, Memory Loss","Chloroquine, Artemisinin",Ian Turner,2009-05-08,PubMed
COVID-19,"Increased Thirst, Fatigue","Medications, Therapy",Kevin Hill,2019-06-28,CDC
Stroke,"Fever, Headache","Insulin, Metformin",Kaitlyn Bennett,2023-01-17,NIH
Arthritis,"Headaches, Dizziness","Medications, Therapy",Whitney Chandler,2008-03-30,Elsevier
COVID-19,"Fever, Headache","Chloroquine, Artemisinin",Mallory Ewing,2021-08-15,Elsevier
Diabetes,"Confusion, Memory Loss","Chemotherapy, Radiotherapy",Jake Richardson,2007-06-29,CDC
Asthma,"Increased Thirst, Fatigue","Rest, Fluids",Sarah Herrera,2019-02-22,WHO
Stroke,"Fever, Headache","Chemotherapy, Radiotherapy",Todd Cox,2018-10-06,PubMed
Malaria,"Increased Thirst, Fatigue","Bronchodilators, Corticosteroids",David Valdez,2012-12-17,Elsevier
Hypertension,"Loss of Smell, Cough","Rest, Fluids",Jocelyn Mendez,2012-12-02,PubMed
Malaria,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Brian Ramirez,2020-09-04,NIH
Alzheimer's,"Headaches, Dizziness","Chemotherapy, Radiotherapy",Susan Olson,2002-04-30,Elsevier
Hypertension,"Joint Pain, Swelling","Vaccines, Antiviral Drugs",Peter Leblanc,2001-11-15,Elsevier
Arthritis,"Chills, Muscle Pain","Medications, Therapy",Michael Cruz,2021-12-20,Elsevier
Hypertension,"Shortness of Breath, Cough","Insulin, Metformin",Megan Alexander,2018-07-14,PubMed
Diabetes,"Headaches, Dizziness","Rest, Fluids",Jackie Fernandez,2003-12-08,CDC
Malaria,"Shortness of Breath, Cough","Vaccines, Antiviral Drugs",Travis Casey,2007-09-13,NIH
Asthma,"Numbness, Weakness",Anti-inflammatory drugs,Cheryl Martinez,2014-10-27,WHO
Cancer,"Joint Pain, Swelling",Anti-inflammatory drugs,Kyle Carter,2019-03-11,CDC
Malaria,"Joint Pain, Swelling","Chloroquine, Artemisinin",Hannah Hernandez,2008-05-16,Elsevier
Diabetes,"Headaches, Dizziness","Chemotherapy, Radiotherapy",Patrick Smith,2024-08-29,CDC
Arthritis,"Fever, Headache","Bronchodilators, Corticosteroids",Sarah Austin,2017-04-25,Elsevier
Cancer,"Joint Pain, Swelling",Anti-inflammatory drugs,Norma Brooks,2004-09-07,WHO
Arthritis,"Fever, Headache","Chemotherapy, Radiotherapy",Richard Esparza,2010-09-28,NIH
COVID-19,"Loss of Smell, Cough","Lifestyle changes, Antihypertensive drugs",Oscar Hansen,2000-04-26,WHO
Cancer,"Fatigue, Weight Loss","Bronchodilators, Corticosteroids",William Neal,2000-04-30,CDC
Cancer,"Confusion, Memory Loss","Vaccines, Antiviral Drugs",Patrick Whitaker,2015-11-04,CDC
Asthma,"Loss of Smell, Cough","Chemotherapy, Radiotherapy",Leslie Flores,2022-02-13,WHO
Stroke,"Fatigue, Weight Loss","Vaccines, Antiviral Drugs",Mr. Bobby Galloway,2000-05-18,CDC
Arthritis,"Numbness, Weakness","Chemotherapy, Radiotherapy",Jacqueline Pitts,2022-04-28,NIH
Asthma,"Confusion, Memory Loss","Chloroquine, Artemisinin",Christopher Lynch,2006-05-31,PubMed
Cancer,"Numbness, Weakness","Chemotherapy, Radiotherapy",Roberta Parker,2000-01-11,PubMed
Hypertension,"Numbness, Weakness","Medications, Therapy",Angelica Cannon,2014-06-18,PubMed
Asthma,"Fatigue, Weight Loss","Chloroquine, Artemisinin",Debra Ramos,2011-01-22,Elsevier
Asthma,"Confusion, Memory Loss","Lifestyle changes, Antihypertensive drugs",Vincent Gross,2016-07-26,PubMed
Cancer,"Fever, Headache","Rest, Fluids",Steven Long,2020-10-07,CDC
Stroke,"Confusion, Memory Loss","Chemotherapy, Radiotherapy",Riley Mcguire,2013-06-04,NIH
Hypertension,"Confusion, Memory Loss","Rest, Fluids",Debbie Thomas,2001-09-11,WHO
Hypertension,"Numbness, Weakness","Lifestyle changes, Antihypertensive drugs",Ryan Smith,2015-12-21,WHO
Alzheimer's,"Numbness, Weakness","Chemotherapy, Radiotherapy",Jeffery Khan,2008-04-19,NIH
Stroke,"Fever, Headache","Medications, Therapy",Tina Cooper,2002-11-22,Elsevier
Hypertension,"Confusion, Memory Loss","Rest, Fluids",Kelly Combs,2018-04-11,PubMed
Cancer,"Chills, Muscle Pain","Insulin, Metformin",Maxwell Fischer,2018-03-16,CDC
Malaria,"Fatigue, Weight Loss","Chloroquine, Artemisinin",Geoffrey Allen,2023-05-23,WHO
Malaria,"Joint Pain, Swelling","Vaccines, Antiviral Drugs",Nicole Willis,2002-07-02,WHO
Diabetes,"Chills, Muscle Pain","Insulin, Metformin",Jason Barr,2010-11-20,NIH
Hypertension,"Joint Pain, Swelling","Chemotherapy, Radiotherapy",Spencer Salinas,2017-05-05,PubMed
Alzheimer's,"Numbness, Weakness","Insulin, Metformin",Andrea Williams,2001-10-06,NIH
Alzheimer's,"Chills, Muscle Pain","Insulin, Metformin",Donna Kim,2008-06-10,NIH
Malaria,"Headaches, Dizziness","Blood Thinners, Surgery",Shelly Valdez,2003-01-25,PubMed
Hypertension,"Increased Thirst, Fatigue","Insulin, Metformin",Adrian Spencer,2023-11-21,Elsevier
Flu,"Joint Pain, Swelling","Lifestyle changes, Antihypertensive drugs",Carol Martin,2012-04-16,NIH
Diabetes,"Shortness of Breath, Cough","Insulin, Metformin",Beverly Salinas DVM,2007-07-22,WHO
COVID-19,"Fever, Headache","Medications, Therapy",Anthony Cook,2012-12-16,WHO
COVID-19,"Fatigue, Weight Loss","Chloroquine, Artemisinin",Julia Wood,2017-04-02,PubMed
Stroke,"Chills, Muscle Pain","Chloroquine, Artemisinin",Kyle Walker II,2023-06-23,Elsevier
Diabetes,"Joint Pain, Swelling","Bronchodilators, Corticosteroids",Charles Melton,2015-10-25,NIH
Asthma,"Joint Pain, Swelling",Anti-inflammatory drugs,Terrance Cummings,2003-06-26,PubMed
Hypertension,"Chills, Muscle Pain","Lifestyle changes, Antihypertensive drugs",Jill Adams,2003-06-27,PubMed
